系统/底层方向是什么方向	深入理解计算机系统, 能写 OS/数据库/分布式系统	csdiy::systems
[系统/底层方向 第1步] NandToTetris 是什么?	从与非门到俄罗斯方块。自底向上理解计算机: 逻辑门→CPU→汇编→OS (约8周)	csdiy::systems
[系统/底层方向 第2步] CSAPP 是什么?	计算机系统基础 (CMU 15-213)。系统圣经, 程序员视角的底层全貌 (约14周)	csdiy::systems
[系统/底层方向 第3步] CS110 是什么?	斯坦福系统基础。CSAPP 进阶, 并发与系统编程 (约10周)	csdiy::systems
[系统/底层方向 第4步] MIT6.S081 是什么?	MIT 操作系统 (xv6)。亲手改 xv6 内核: 虚存/调度/文件系统 (约12周)	csdiy::systems
[系统/底层方向 第5步] CS162 是什么?	伯克利操作系统。Pintos 项目, 另一视角的 OS 实现 (约12周)	csdiy::systems
[系统/底层方向 第6步] CMU15-445 是什么?	CMU 数据库 (Bustub)。手写存储引擎/查询执行 (约10周)	csdiy::systems
[系统/底层方向 第7步] MIT6.824 是什么?	MIT 分布式系统。Raft/分片/一致性, 工业界必修 (约12周)	csdiy::systems
哪个课程的核心理念是: 自底向上理解计算机: 逻辑门→CPU→汇编→OS?	NandToTetris — 从与非门到俄罗斯方块	csdiy::systems::反向
哪个课程的核心理念是: 系统圣经, 程序员视角的底层全貌?	CSAPP — 计算机系统基础 (CMU 15-213)	csdiy::systems::反向
哪个课程的核心理念是: CSAPP 进阶, 并发与系统编程?	CS110 — 斯坦福系统基础	csdiy::systems::反向
哪个课程的核心理念是: 亲手改 xv6 内核: 虚存/调度/文件系统?	MIT6.S081 — MIT 操作系统 (xv6)	csdiy::systems::反向
哪个课程的核心理念是: Pintos 项目, 另一视角的 OS 实现?	CS162 — 伯克利操作系统	csdiy::systems::反向
哪个课程的核心理念是: 手写存储引擎/查询执行?	CMU15-445 — CMU 数据库 (Bustub)	csdiy::systems::反向
哪个课程的核心理念是: Raft/分片/一致性, 工业界必修?	MIT6.824 — MIT 分布式系统	csdiy::systems::反向
AI/机器学习方向是什么方向	从数学基础到深度学习, 能读论文/做研究	csdiy::ai
[AI/机器学习方向 第1步] 线性代数 是什么?	MIT 18.06 / CS70。ML 的语言是矩阵和概率 (约10周)	csdiy::ai
[AI/机器学习方向 第2步] 概率论 是什么?	EECS126 / MIT18.330。统计推断与随机过程 (约8周)	csdiy::ai
[AI/机器学习方向 第3步] CS229 是什么?	Stanford 机器学习。吴恩达经典, ML 数学根基 (约10周)	csdiy::ai
[AI/机器学习方向 第4步] CS231n 是什么?	Stanford 深度学习与CV。CNN/反向传播/视觉 (约8周)	csdiy::ai
[AI/机器学习方向 第5步] CS224n 是什么?	Stanford NLP 与深度学习。词向量/Transformer 鼎峰之路 (约8周)	csdiy::ai
[AI/机器学习方向 第6步] CMU10-714 是什么?	CMU 深度学习系统。手写深度学习框架 (约10周)	csdiy::ai
[AI/机器学习方向 第7步] MIT6.5940_TinyML 是什么?	MIT TinyML。模型部署与端侧推理 (约6周)	csdiy::ai
哪个课程的核心理念是: ML 的语言是矩阵和概率?	线性代数 — MIT 18.06 / CS70	csdiy::ai::反向
哪个课程的核心理念是: 统计推断与随机过程?	概率论 — EECS126 / MIT18.330	csdiy::ai::反向
哪个课程的核心理念是: 吴恩达经典, ML 数学根基?	CS229 — Stanford 机器学习	csdiy::ai::反向
哪个课程的核心理念是: CNN/反向传播/视觉?	CS231n — Stanford 深度学习与CV	csdiy::ai::反向
哪个课程的核心理念是: 词向量/Transformer 鼎峰之路?	CS224n — Stanford NLP 与深度学习	csdiy::ai::反向
哪个课程的核心理念是: 手写深度学习框架?	CMU10-714 — CMU 深度学习系统	csdiy::ai::反向
哪个课程的核心理念是: 模型部署与端侧推理?	MIT6.5940_TinyML — MIT TinyML	csdiy::ai::反向
全栈/应用方向是什么方向	能独立设计并交付 Web 应用	csdiy::fullstack
[全栈/应用方向 第1步] CS61A 是什么?	伯克利 程序设计 (Python)。抽象与编程思维地基 (约8周)	csdiy::fullstack
[全栈/应用方向 第2步] CS61B 是什么?	伯克利 数据结构 (Java)。经典数据结构与算法实现 (约10周)	csdiy::fullstack
[全栈/应用方向 第3步] CS169 是什么?	伯克利 软件工程。敏捷/Rails/SaaS 全流程 (约8周)	csdiy::fullstack
[全栈/应用方向 第4步] MIT6.031 是什么?	MIT 软件构造。用类型与不变量写出可靠代码 (约10周)	csdiy::fullstack
[全栈/应用方向 第5步] CS144 是什么?	Stanford 计算机网络。手写 TCP, 理解协议栈 (约8周)	csdiy::fullstack
[全栈/应用方向 第6步] topdown 是什么?	计算机网络 自顶向下。应用层视角补全 (约8周)	csdiy::fullstack
哪个课程的核心理念是: 抽象与编程思维地基?	CS61A — 伯克利 程序设计 (Python)	csdiy::fullstack::反向
哪个课程的核心理念是: 经典数据结构与算法实现?	CS61B — 伯克利 数据结构 (Java)	csdiy::fullstack::反向
哪个课程的核心理念是: 敏捷/Rails/SaaS 全流程?	CS169 — 伯克利 软件工程	csdiy::fullstack::反向
哪个课程的核心理念是: 用类型与不变量写出可靠代码?	MIT6.031 — MIT 软件构造	csdiy::fullstack::反向
哪个课程的核心理念是: 手写 TCP, 理解协议栈?	CS144 — Stanford 计算机网络	csdiy::fullstack::反向
哪个课程的核心理念是: 应用层视角补全?	topdown — 计算机网络 自顶向下	csdiy::fullstack::反向
理论/算法方向是什么方向	扎实的算法与理论计算机科学功底	csdiy::theory
[理论/算法方向 第1步] CS70 是什么?	伯克利 离散数学与概率。CS 理论的语言 (约10周)	csdiy::theory
[理论/算法方向 第2步] CS170 是什么?	伯克利 高效算法。算法设计与复杂度 (约10周)	csdiy::theory
[理论/算法方向 第3步] CS161 是什么?	伯克利 数据结构。工程化算法实现 (约8周)	csdiy::theory
[理论/算法方向 第4步] Princeton-Algorithm 是什么?	普林斯顿 算法。Sedgewick 经典, Java 实现 (约10周)	csdiy::theory
[理论/算法方向 第5步] CS168 是什么?	伯克利 网络算法。互联网背后的算法 (约8周)	csdiy::theory
哪个课程的核心理念是: CS 理论的语言?	CS70 — 伯克利 离散数学与概率	csdiy::theory::反向
哪个课程的核心理念是: 算法设计与复杂度?	CS170 — 伯克利 高效算法	csdiy::theory::反向
哪个课程的核心理念是: 工程化算法实现?	CS161 — 伯克利 数据结构	csdiy::theory::反向
哪个课程的核心理念是: Sedgewick 经典, Java 实现?	Princeton-Algorithm — 普林斯顿 算法	csdiy::theory::反向
哪个课程的核心理念是: 互联网背后的算法?	CS168 — 伯克利 网络算法	csdiy::theory::反向
图形学方向是什么方向	光栅化/光线追踪/PBR 全栈	csdiy::graphics
[图形学方向 第1步] 线性代数 是什么?	数学准备。变换与投影 (约6周)	csdiy::graphics
[图形学方向 第2步] GAMES101 是什么?	闫令琪 图形学入门。光栅化与光线追踪, 国人神课 (约8周)	csdiy::graphics
[图形学方向 第3步] 15462 是什么?	CMU 图形学。动画与物理仿真 (约10周)	csdiy::graphics
[图形学方向 第4步] GAMES202 是什么?	实时高质量渲染。PBR 与阴影 (约8周)	csdiy::graphics
[图形学方向 第5步] PBR 是什么?	Physically Based Rendering。工业级离线渲染器 (约12周)	csdiy::graphics
哪个课程的核心理念是: 变换与投影?	线性代数 — 数学准备	csdiy::graphics::反向
哪个课程的核心理念是: 光栅化与光线追踪, 国人神课?	GAMES101 — 闫令琪 图形学入门	csdiy::graphics::反向
哪个课程的核心理念是: 动画与物理仿真?	15462 — CMU 图形学	csdiy::graphics::反向
哪个课程的核心理念是: PBR 与阴影?	GAMES202 — 实时高质量渲染	csdiy::graphics::反向
哪个课程的核心理念是: 工业级离线渲染器?	PBR — Physically Based Rendering	csdiy::graphics::反向
