进程、线程、协程到底差在哪？	谁调度+是否共享地址空间。进程=内核调度+独立页表（最重）；线程=内核调度+共享地址空间；协程=用户态调度（只存寄存器+栈，纳秒级，最轻）。例子：Go goroutine 一个 OS 线程跑几万个。	系统底层
每个进程都用 0x7fff… 虚拟地址，为什么不会撞？	因为虚拟地址经 MMU+页表映射到不同物理页，每个进程有独立页表。隔离靠「每进程一套页表」，不是地址不重叠。进程A的0x400000→物理0x1000，进程B的→物理0x5000。	系统底层
fork 之后子进程有哪些隐藏的坑？	fork只复制调用线程（其他线程不继承）+父子共享已打开fd的文件偏移量（互相干扰写入位置）+子进程继承malloc锁状态只能调async-signal-safe函数。类比：fork不是复制整个房子，是复制一张地图，东西还是共享的。	系统底层
僵尸进程（Zombie）怎么来的？	怎么清？子进程退出后父进程没调wait/waitpid，内核保留进程表项（PID+退出状态）等父回收。ps看到<defunct>，kill不掉（已经死了）。清理：kill父进程 或 signal(SIGCHLD, SIG_IGN)。危害：耗尽PID（默认上限32768）。	系统底层
缺页中断（Page Fault）到底有多贵？	访问的虚拟页不在内存→陷入内核→分配物理页（可能磁盘IO）。软缺页~1-2μs，硬缺页~10-100μs，比内存访问（~100ns）慢100-1000倍。顺序扫描大数据比随机访问快几倍，就是缺页率差异。	系统底层
为什么总说「CPU缓存友好性」？	缓存行64字节，预取+局部性让顺序访问命中率高。L1命中~1ns，L3~10ns，内存~100ns。随机访问链表每次可能cache miss，比连续数组慢10-50倍。遍历int[1000][1000]按行比按列快几倍。	系统底层
大端小端（Endianness）什么时候会咬人？	多字节类型(int/float)在内存的字节序。x86/ARM小端，网络字节序/Java大端。跨机传二进制结构体、解析网络协议、读文件头时必须用htonl/ntohl。0x01020304小端存为04 03 02 01，大端机直接读变0x04030201。	系统底层
结构体对齐（padding）：为什么sizeof比字段总和大？	CPU要求访问对齐地址（int须4字节对齐），编译器在字段间插padding。struct{char a;int b;} sizeof=8不是5。跨平台二进制协议对齐不一致→数据错位；ARM未对齐访问可能直接segfault。手段：#pragma pack(1)或手动重排大字段在前。	系统底层
系统调用（syscall）为什么那么贵？	用户态→内核态切换：保存用户寄存器+切换内核栈+权限检查+返回恢复。一次syscall~1-2μs，普通函数调用~1ns，慢1000倍。优化：批量readv/writev、stdio缓冲、vDSO（时间调用不真切换）。	系统底层
零拷贝（zero-copy）到底省了什么？	传统read+write=4次上下文切换+4次拷贝(2CPU+2DMA)。sendfile()数据全程内核态=0次CPU拷贝+2次上下文切换。mmap省掉read的一次CPU拷贝。Kafka/Nginx用sendfile传文件吞吐量提升数倍。	系统底层
TCP三次握手为什么不是两次？	两次握手无法防止历史重复连接（已失效旧SYN）被当新连接，也无法让双方都确认对方收发能力正常。第三次ACK证明客户端收到了服务端的SYN+ACK。类比：A问B「能听到吗」B问「你呢」A答「能」，少最后一句B不知A是否真听到。	网络
TIME_WAIT堆积怎么办？	主动关闭方进TIME_WAIT等2MSL（确保最后ACK到达+旧报文消亡），高并发短连接堆积。解决：SO_REUSEADDR复用端口 / 让客户端主动关闭 / 调tcp_max_tw_buckets / 用长连接池。不要盲目tcp_tw_reuse=1（NAT有风险）。	网络
为什么要用Nagle算法？	什么时候要关？Nagle把小包攒成大包发减少网络包数，但和延迟ACK叠加会导致~40ms延迟。该开：大文件传输。该关(TCP_NODELAY)：Redis/MySQL请求响应、交互式游戏。Redis官方客户端默认TCP_NODELAY。	网络
HTTP/2多路复用解决了什么问题？	HTTP/1.1一个连接一次只处理一个请求（队头阻塞），HTTP/2在一个TCP连接上用二进制帧交错多个stream并行不阻塞。解决HTTP级队头阻塞（TCP层丢包仍阻塞所有stream），省去为并发开6-8个TCP连接的握手开销。HTTP/3(QUIC)把多路复用做到UDP层。	网络
为什么用epoll不用select？	select每次要把所有fd拷贝到内核+内核O(n)轮询所有fd+有1024个fd上限。epoll内核维护就绪链表，epoll_wait只返回就绪的fd是O(1)，红黑树管理fd无上限。10万连接只100个活跃，select轮询10万次，epoll只返回100个。	网络
CLOSE_WAIT堆积是谁的锅？	应用层bug——收到对方FIN后自己没调close()（连接泄漏）。对比：TIME_WAIT是主动关闭方正常状态，CLOSE_WAIT是被动方该关没关。排查：netstat -an | grep CLOSE_WAIT，找代码里哪个连接没释放。	网络
MTU和MSS有什么区别？	MTU(链路层)=一个以太网帧最大字节数默认1500。MSS(TCP层)=一个TCP报文段最多携带数据=MTU−IP头(20)−TCP头(20)=1460。意义：MSS协商让TCP不超过MTU避免IP分片（分片丢一片全丢）。巨帧Jumbo Frame MTU=9000用于数据中心。	网络
长连接为什么还需要心跳？	NAT网关/防火墙会清理空闲连接表项（通常5分钟），断了不知道下次写就失败。TCP KeepAlive默认2小时太长，应用层自己发心跳(如30s一次ping)。双重作用：保活+检测对端是否真死（半开连接）。	网络
TCP粘包/拆包怎么拆？	TCP是字节流没有消息边界，应用层必须自己定义边界。方案：定长消息 / 长度前缀(先读4字节长度再读对应数据，最常用) / 分隔符(HTTP的\r\n，含分隔符要转义)。大多数RPC用「magic+长度+body」。	网络
TLS握手到底有多贵？	TLS 1.2=2-RTT握手+非对称加密计算，首次连接延迟高。TLS 1.3=1-RTT甚至0-RTT(Session Resumption有重放风险)。优化：Session Ticket复用、HTTP/2多路复用省连接、OCSP Stapling。实测HTTPS冷启动比HTTP多~100-300ms，复用后几乎无差。	网络
MySQL为什么用B+树而不是B树/红黑树？	磁盘IO是瓶颈，B+树非叶节点不存数据只存索引，扇出极大→树更矮→IO少。B+树3-4层存千万级（每层可上千指针），红黑树存千万要~23层=23次IO。B树非叶也存数据扇出小树更高。B+树叶子链表相连范围查询高效。	数据库
索引为什么突然失效了？	八大场景：函数操作列WHERE YEAR(date) / 隐式类型转换(varchar列用数字查) / 最左前缀不满足联合索引(a,b,c)查b / LIKE '%xxx'前缀模糊 / OR连非索引列 / !=或NOT IN / 联合索引中间列用了范围 / 优化器估算全表扫成本更低。	数据库
事务隔离级别：幻读到底怎么解决？	RU全有，RC无脏读，RR(MySQL默认)用MVCC快照读+间隙锁解决幻读，Serializable全无。幻读=同一事务两次查询行数变了(别人INSERT新行)。快照读(普通SELECT)走MVCC，当前读(SELECT FOR UPDATE)读最新+加间隙锁。	数据库
MVCC一句话怎么说？	每行数据带版本号/事务ID，读事务只看自己开始时的快照(不改不加锁)，写才加行锁→读不阻塞写，写不阻塞读。InnoDB每行有trx_id+undo log链存历史版本。快照读走MVCC，当前读读最新+加锁。	数据库
SELECT为什么慢？	EXPLAIN怎么读？看关键列：type=ALL是全表扫(最差)，ref/eq_ref才算走索引，const最优。key是实际用的索引(可能NULL没用)。rows估算扫描行数越小越好。Extra有Using filesort/Using temporary是坏信号，Using index(覆盖索引)是好。	数据库
主从延迟（replication lag）怎么来的？	怎么治？5.7前从库单线程回放binlog主库多线程写追不上 / 大事务回放慢 / 网络瓶颈。治法：MySQL 5.7+并行复制(基于组提交)、拆大事务、从库用更好硬件。监控Seconds_Behind_Master。	数据库
死锁怎么排查？	SHOW ENGINE INNODB STATUS看LATEST DETECTED DEADLOCK，能看到两个事务各持有/等待哪个锁。预防：固定加锁顺序(按主键升序)、小事务快提交、降低隔离级别。InnoDB默认自动检测死锁并回滚代价小的事务。	数据库
数据库连接池开多大才对？	（反直觉）不是越大越好，连接太多因上下文切换变慢。HikariCP公式：pool_size=(核心数×2)+磁盘数。原理：CPU密集时线程多反而争抢，IO等待才需多一点。PostgreSQL实测50连接比100连接吞吐高30%。	数据库
redo log和undo log分别干嘛？	redo(重做日志)记录数据页修改后的值→保证持久性(crash后能恢复)，WAL先写日志再改数据页。undo(回滚日志)记录修改前的值→保证原子性(回滚)+支撑MVCC(历史版本)。口诀：redo保持久，undo保回滚+MVCC。	数据库
什么时候该分库分表？	不要过早。触发点：单表>1000万且B+树变4层查询慢 / 单库写QPS到瓶颈(MySQL单机~几千-1万) / 单机磁盘内存到瓶颈。代价：跨库JOIN难、分布式事务难、全局ID要单独方案。先尝试垂直拆分→读写分离→水平分表(hash/range)。	数据库
互斥锁vs信号量vs条件变量，什么时候用哪个？	mutex保护临界区同一时刻只1个进入(改共享变量)。semaphore计数器允许N个并发(限流N个连接/生产者消费者空位)。condvar等待条件成立必须配mutex(队列非空才消费)。类比：mutex=单人厕所门锁，信号量=停车场车位，条件变量=取号等叫号。	并发分布式
CAS是什么？	ABA问题怎么破？Compare-And-Swap(addr,expected,new)原子操作——值==expected才改成new否则失败重试。ABA问题：值A→B→A，CAS以为没变过。破法：加版本号AtomicStampedReference。例子：转账余额100→扣50→存50，另线程CAS看到100误判没变。	并发分布式
Raft选举一句话？	节点随机超时(150-300ms)先变成Candidate，给自己投票并向其他节点要票，获得多数票就当Leader。防脑裂：必须多数派同意才能当选。Leader周期发AppendEntries心跳续约，follower超时就重新选举。	并发分布式
CAP三选二，到底选CP还是AP？	分区(P)必然存在，只能在C(一致性)和A(可用性)间选。CP(ZK/etcd/HBase)分区时拒绝写保证强一致，适合配置中心/选主/金融。AP(Cassandra/DynamoDB/Eureka)分区时各自接受写事后修复，适合社交/购物车/点赞。没有完美CA分布式系统(除非单机)。	并发分布式
幂等怎么做？	（重复请求结果不变）四种手段：唯一键约束(数据库兜底重复报错) / Token机制(请求前领token用一次作废) / 状态机(只允许合法流转重复到同状态被拒) / 乐观锁版本号(UPDATE WHERE version=x)。例子：支付接口订单号做唯一键，重复点第二次返回已支付。	并发分布式
分布式锁有哪些坑？	要同时满足互斥+不会死锁+容错很难。Redis SETNX+过期：坑=锁过期业务没完→看门狗续期(Redisson)。Redlock多节点多数派：Martin Kleppmann质疑(GC停顿/时钟漂移)。ZK临时顺序节点最可靠但性能低。终极坑：GC Stop-the-World停几秒锁过期，醒来还以为持锁→fencing token旧leader写被拒。	并发分布式
消息队列：至少一次/最多一次/恰好一次？	至少once可能重复(ack丢失重投)必须幂等。最多once可能丢(发完不等确认)允许丢的场景用(日志)。恰好once极难，靠幂等生产+幂等消费+事务消息模拟(Kafka 0.11+事务、RocketMQ)。大多数系统是至少一次+业务幂等而不是真恰好一次。	并发分布式
限流算法：令牌桶/漏桶/滑动窗口怎么选？	令牌桶匀速发令牌桶可累积允许突发(API)。漏桶请求匀速漏出严格匀速不允许突发(保护下游调第三方)。滑动窗口精确统计窗口内请求数无临界突刺(固定窗口在边界有双倍突刺)。Sentinel用滑动窗口，Guava RateLimiter用令牌桶，Nginx limit_req用漏桶。	并发分布式
一致性哈希解决了什么？	为什么要虚拟节点？把节点和key都映射到哈希环，key顺时针找最近节点。优势：增删节点只迁移相邻段数据(普通取模全量迁移)。问题：节点少时数据倾斜。解决：虚拟节点(一个物理节点对应150+虚拟节点)数据均匀分布。	并发分布式
分布式脑裂（Split-Brain）是什么？	怎么防？网络分区把集群分成两半各自选出leader，双方都接收写→数据不一致。防法1：多数派Quorum写必须过半确认(Raft/Paxos)少数派侧选不出leader。防法2：Fencing Token每次新leader拿更高序号旧leader写被存储层拒绝。防法3：Witness/Stonith专门节点仲裁或射击故障节点。	并发分布式
哈希表冲突攻击是什么？	怎么防？攻击者构造大量哈希冲突的key让所有key落同一个桶，哈希表退化成链表查询O(n)→DoS。2011年PHP/Java/ASP都中招POST一堆冲突参数把CPU打满。防御：随机化哈希种子(Python3.3+默认随机防预计算) / 冲突链超阈值树化(Java8 HashMap链表>8转红黑树O(logn))。	算法数据结构
为什么标准库用红黑树而不是AVL树？	红黑树是近似平衡，插入删除旋转次数≤3(AVL严格平衡旋转更多)，适合频繁增删场景。AVL更严格平衡查询略快但增删旋转多。红黑树增删性能更好适合动态数据(HashMap桶树化、Linux CFS调度器、epoll)。一句话：AVL查多写少，红黑树读写均衡。	算法数据结构
跳表（Skip List）vs B+树，Redis为什么用跳表？	跳表多层概率链表O(logn)查询，实现简单+并发友好(只锁局部节点)。B+树磁盘友好(扇出大树矮IO少)但并发控制复杂(锁粒度大)。Redis ZSET用跳表：纯内存不需要磁盘优化、实现简单、范围操作天然支持、并发不是主要矛盾。	算法数据结构
布隆过滤器（Bloom Filter）什么时候用？	空间极省判断「可能存在」或「绝对不存在」，有假阳性(说有其实没有)无假阴性。适合：缓存穿透防护(先挡掉一定不存在的key)、海量去重(爬虫URL)、黑名单初筛。误判率1%的BF，1亿key只需~120MB。注意：标准BF不支持删除(要Counting BF)，元素越多误判率越高需预估容量。	算法数据结构
